phy info
Phy mapping dump:
      port   id0   id1  addr iaddr                    name           timeout
  ge0(  1)  600d  845b     1    81                BCM54282     250000  
  ge1(  2)  600d  845b     2    81                BCM54282     250000  
  ge2(  3)  600d  845b     3    81                BCM54282     250000  
  ge3(  4)  600d  845b     4    81                BCM54282     250000  
  ge4(  5)  600d  845b     5    81                BCM54282     250000  
  ge5(  6)  600d  845b     6    81                BCM54282     250000  
  ge6(  7)  600d  845b     7    81                BCM54282     250000  
  ge7(  8)  600d  845b     8    81                BCM54282     250000  
  ge8(  9)  600d  845b     b    89                BCM54282     250000  
  ge9( 10)  600d  845b     c    89                BCM54282     250000  
 ge10( 11)  600d  845b     d    89                BCM54282     250000  
 ge11( 12)  600d  845b     e    89                BCM54282     250000  
 ge12( 13)  600d  845b     f    89                BCM54282     250000  
 ge13( 14)  600d  845b    10    89                BCM54282     250000  
 ge14( 15)  600d  845b    11    89                BCM54282     250000  
 ge15( 16)  600d  845b    12    89                BCM54282     250000  
 ge16( 17)  600d  845b    15    91                BCM54282     250000  
 ge17( 18)  600d  845b    16    91                BCM54282     250000  
 ge18( 19)  600d  845b    17    91                BCM54282     250000  
 ge19( 20)  600d  845b    18    91                BCM54282     250000  
 ge20( 21)  600d  845b    19    91                BCM54282     250000  
 ge21( 22)  600d  845b    1a    91                BCM54282     250000  
 ge22( 23)  600d  845b    1b    91                BCM54282     250000  
 ge23( 24)  600d  845b    1c    91                BCM54282     250000  
 ge24( 25)  600d  845b    21    a1                BCM54282     250000  
 ge25( 26)  600d  845b    22    a1                BCM54282     250000  
 ge26( 27)  600d  845b    23    a1                BCM54282     250000  
 ge27( 28)  600d  845b    24    a1                BCM54282     250000  
 ge28( 29)  600d  845b    25    a1                BCM54282     250000  
 ge29( 30)  600d  845b    26    a1                BCM54282     250000  
 ge30( 31)  600d  845b    27    a1                BCM54282     250000  
 ge31( 32)  600d  845b    28    a1                BCM54282     250000  
 ge32( 33)  600d  845b    2b    a9                BCM54282     250000  
 ge33( 34)  600d  845b    2c    a9                BCM54282     250000  
 ge34( 35)  600d  845b    2d    a9                BCM54282     250000  
 ge35( 36)  600d  845b    2e    a9                BCM54282     250000  
 ge36( 37)  600d  845b    2f    a9                BCM54282     250000  
 ge37( 38)  600d  845b    30    a9                BCM54282     250000  
 ge38( 39)  600d  845b    31    a9                BCM54282     250000  
 ge39( 40)  600d  845b    32    a9                BCM54282     250000  
 ge40( 41)  600d  845b    35    b1                BCM54282     250000  
 ge41( 42)  600d  845b    36    b1                BCM54282     250000  
 ge42( 43)  600d  845b    37    b1                BCM54282     250000  
 ge43( 44)  600d  845b    38    b1                BCM54282     250000  
 ge44( 45)  600d  845b    39    b1                BCM54282     250000  
 ge45( 46)  600d  845b    3a    b1                BCM54282     250000  
 ge46( 47)  600d  845b    3b    b1                BCM54282     250000  
 ge47( 48)  600d  845b    3c    b1                BCM54282     250000  
 ge48( 49)     0     0    e3    e3                Phy56XXX     250000  
  xe0( 50)  600d  86f0    40    c1                BCM84758     250000  
  xe1( 51)  600d  86f0    41    c1                BCM84758     250000  
  xe2( 52)  600d  86f0    42    c1                BCM84758     250000  
  xe3( 53)  600d  86f0    43    c1                BCM84758     250000  
  xe4( 54)   143  bff0    c5    c5              WC-B1/14/4     250000  
  xe5( 55)   143  bff0    c9    c9              WC-B1/15/4     250000  
BCM.0> 
