# CPLD /dev/i2c-0 @ 0x30  regs 0x00..0x3f (read-only)
0x00: 0x00  00000000
0x01: 0x02  00000010
0x02: 0x22  00100010
0x03: 0x22  00100010
0x04: 0x00  00000000
0x05: 0x00  00000000
0x06: 0x00  00000000
0x07: 0x02  00000010
0x08: 0x02  00000010
0x09: 0x00  00000000
0x0a: 0x00  00000000
0x0b: 0x03  00000011
0x0c: 0x04  00000100
0x0d: 0x01  00000001
0x0e: 0x00  00000000
0x0f: 0x00  00000000
0x10: 0x00  00000000
0x11: 0x07  00000111
0x12: 0x00  00000000
0x13: 0x00  00000000
0x14: 0x00  00000000
0x15: 0x00  00000000
0x16: 0x00  00000000
0x17: 0x00  00000000
0x18: 0x00  00000000
0x19: 0x00  00000000
0x1a: 0x00  00000000
0x1b: 0x00  00000000
0x1c: 0xc3  11000011
0x1d: 0xff  11111111
0x1e: 0x00  00000000
0x1f: 0x00  00000000
0x20: 0x00  00000000
0x21: 0x00  00000000
0x22: 0x22  00100010
0x23: 0x02  00000010
0x24: 0x00  00000000
0x25: 0x00  00000000
0x26: 0x00  00000000
0x27: 0x00  00000000
0x28: 0x00  00000000
0x29: 0x00  00000000
0x2a: 0x00  00000000
0x2b: 0x02  00000010
0x2c: 0x00  00000000
0x2d: 0x00  00000000
0x2e: 0x02  00000010
0x2f: 0x01  00000001
0x30: 0x00  00000000
0x31: 0x00  00000000
0x32: 0x89  10001001
0x33: 0x00  00000000
0x34: 0x8e  10001110
0x35: 0x00  00000000
0x36: 0x00  00000000
0x37: 0x00  00000000
0x38: 0x32  00110010
0x39: 0x00  00000000
0x3a: 0x00  00000000
0x3b: 0x00  00000000
0x3c: 0x00  00000000
0x3d: 0x00  00000000
0x3e: 0x00  00000000
0x3f: 0x00  00000000
